,species,site,nest1,nest2,sampleUnit,sampleArea,tideHTm,lat,lon,position
31,Chlorostoma funebralis,Wara.B,tran3W,quad4,tran3W_quad4,Wara.B,1.066799966,36.62195,-121.90534,WaraB_mid
32,Chlorostoma funebralis,Wara.B,tran3W,quad5,tran3W_quad5,Wara.B,1.219199961,36.62195,-121.90534,WaraB_mid
33,Chlorostoma funebralis,Wara.B,B_day2_tran1,quad1,B_day2_tran1_quad1,Wara.B,1.219199961,36.6219,-121.90542,WaraB_mid
34,Chlorostoma funebralis,Wara.B,B_day2_tran1,quad2,B_day2_tran1_quad2,Wara.B,1.219199961,36.6219,-121.90542,WaraB_mid
35,Chlorostoma funebralis,Wara.B,B_day2_tran1,quad3,B_day2_tran1_quad3,Wara.B,1.219199961,36.6219,-121.90542,WaraB_mid
36,Chlorostoma funebralis,Wara.B,B_day2_tran1,quad4,B_day2_tran1_quad4,Wara.B,1.523999951,36.6219,-121.90542,WaraB_hi
37,Chlorostoma funebralis,Wara.D,tran10W,quad2,tran10W_quad2,Wara.D,0.30479999,36.62147,-121.90354,WaraD_mid
38,Chlorostoma funebralis,Wara.D,tran10W,quad3,tran10W_quad3,Wara.D,0.30479999,36.62147,-121.90354,WaraD_mid
39,Chlorostoma funebralis,Wara.D,tran10W,quad1,tran10W_quad1,Wara.D,0.30479999,36.62147,-121.90354,WaraD_mid
40,Chlorostoma funebralis,Wara.D,tran6W,quad1,tran6W_quad1,Wara.D,0.30479999,36.62163,-121.90334,WaraD_low2
41,Chlorostoma funebralis,Wara.D,tran6W,quad2,tran6W_quad2,Wara.D,0.30479999,36.62163,-121.90334,WaraD_low2
42,Chlorostoma funebralis,Wara.D,tran6W,quad3,tran6W_quad3,Wara.D,0.30479999,36.62163,-121.90334,WaraD_low2
43,Chlorostoma funebralis,Wara.D,tran6W,quad4,tran6W_quad4,Wara.D,0.30479999,36.62163,-121.90334,WaraD_low2
44,Chlorostoma funebralis,Wara.D,tran8R,quad3,tran8R_quad3,Wara.D,0.30479999,36.62148,-121.90373,WaraD_mid
45,Chlorostoma funebralis,Wara.D,tran9W,quad3,tran9W_quad3,Wara.D,0.30479999,36.62151,-121.90348,WaraD_mid
46,Chlorostoma funebralis,Wara.D,tran9W,quad1,tran9W_quad1,Wara.D,0.30479999,36.62151,-121.90348,WaraD_mid
47,Chlorostoma funebralis,Wara.D,tran7R,quad2,tran7R_quad2,Wara.D,0.457199985,36.62143,-121.90374,WaraD_mid
48,Chlorostoma funebralis,Wara.D,tran7W,quad1,tran7W_quad1,Wara.D,0.457199985,36.62154,-121.90345,WaraD_mid
49,Chlorostoma funebralis,Wara.D,tran8W,quad2,tran8W_quad2,Wara.D,0.457199985,36.62136,-121.90365,WaraD_mid
50,Chlorostoma funebralis,Wara.D,tran8W,quad1,tran8W_quad1,Wara.D,0.457199985,36.62136,-121.90365,WaraD_mid
51,Chlorostoma funebralis,Wara.D,tran8W,quad3,tran8W_quad3,Wara.D,0.457199985,36.62136,-121.90365,WaraD_mid
52,Chlorostoma funebralis,Wara.D,tran6R,quad4,tran6R_quad4,Wara.D,0.60959998,36.62159,-121.9034,WaraD_mid2
53,Chlorostoma funebralis,Wara.D,tran6R,quad1,tran6R_quad1,Wara.D,0.60959998,36.62159,-121.9034,WaraD_mid2
54,Chlorostoma funebralis,Wara.D,tran7R,quad3,tran7R_quad3,Wara.D,0.60959998,36.62143,-121.90374,WaraD_mid2
55,Chlorostoma funebralis,Wara.D,tran7R,quad1,tran7R_quad1,Wara.D,0.60959998,36.62143,-121.90374,WaraD_mid2
56,Chlorostoma funebralis,Wara.D,tran7W,quad2,tran7W_quad2,Wara.D,0.60959998,36.62154,-121.90345,WaraD_mid2
57,Chlorostoma funebralis,Wara.D,tran7W,quad3,tran7W_quad3,Wara.D,0.60959998,36.62154,-121.90345,WaraD_mid2
58,Chlorostoma funebralis,Wara.D,tran7W,quad4,tran7W_quad4,Wara.D,0.60959998,36.62154,-121.90345,WaraD_mid2
59,Chlorostoma funebralis,Wara.D,tran8R,quad2,tran8R_quad2,Wara.D,0.60959998,36.62148,-121.90373,WaraD_mid2
60,Chlorostoma funebralis,Wara.D,tran8R,quad1,tran8R_quad1,Wara.D,0.60959998,36.62148,-121.90373,WaraD_mid2
61,Chlorostoma funebralis,Wara.D,tran9R,quad1,tran9R_quad1,Wara.D,0.60959998,36.62148,-121.90373,WaraD_mid2
62,Chlorostoma funebralis,Wara.D,tran9W,quad2,tran9W_quad2,Wara.D,0.60959998,36.62151,-121.90348,WaraD_mid2
63,Chlorostoma funebralis,Wara.D,tran6R,quad2,tran6R_quad2,Wara.D,0.761999976,36.62159,-121.9034,WaraD_mid2
64,Chlorostoma funebralis,Wara.D,tran1L,quad1,tran1L_quad1,Wara.D,0.914399971,36.62138,-121.90374,WaraD_hi
65,Chlorostoma funebralis,Wara.D,tran20R,quad1,tran20R_quad1,Wara.D,0.914399971,36.62136,-121.90379,WaraD_hi
66,Chlorostoma funebralis,Wara.D,tran20R,quad2,tran20R_quad2,Wara.D,0.914399971,36.62136,-121.90379,WaraD_hi
67,Chlorostoma funebralis,Wara.D,tran20R,quad3,tran20R_quad3,Wara.D,0.914399971,36.62136,-121.90379,WaraD_hi
68,Chlorostoma funebralis,Wara.D,tran21R,quad1,tran21R_quad1,Wara.D,0.914399971,36.62123,-121.90389,WaraD_hi
69,Chlorostoma funebralis,Wara.D,tran2L,quad1,tran2L_quad1,Wara.D,0.914399971,36.62129,-121.90388,WaraD_hi
70,Chlorostoma funebralis,Wara.D,tran2L,quad2,tran2L_quad2,Wara.D,0.914399971,36.62129,-121.90388,WaraD_hi
71,Chlorostoma funebralis,Wara.D,tran2L,quad3,tran2L_quad3,Wara.D,0.914399971,36.62129,-121.90388,WaraD_hi
72,Chlorostoma funebralis,Wara.D,tran6R,quad3,tran6R_quad3,Wara.D,0.914399971,36.62159,-121.9034,WaraD_hi
73,Chlorostoma funebralis,Wara.D,tran9R,quad2,tran9R_quad2,Wara.D,0.914399971,36.62148,-121.90373,WaraD_hi
74,Chlorostoma funebralis,Wara.D,tran9R,quad3,tran9R_quad3,Wara.D,0.914399971,36.62148,-121.90373,WaraD_hi
75,Chlorostoma funebralis,Wara.D,tran1L,quad3,tran1L_quad3,Wara.D,1.066799966,36.62138,-121.90374,WaraD_hi
76,Chlorostoma funebralis,Wara.D,tran1L,quad2,tran1L_quad2,Wara.D,1.219199961,36.62138,-121.90374,WaraD_hi
77,Chlorostoma funebralis,Wara.D,tran21R,quad2,tran21R_quad2,Wara.D,1.219199961,36.62123,-121.90389,WaraD_hi
78,Chlorostoma funebralis,Wara.D,tran21R,quad3,tran21R_quad3,Wara.D,1.219199961,36.62123,-121.90389,WaraD_hi
79,Lottia digitalis,areaA,zone3,quad1,areaA_zone3_quad1,areaA_zone3,1.371599956,36.62192,-121.90527,1_Lower
80,Lottia digitalis,areaA,zone3,quad2,areaA_zone3_quad2,areaA_zone3,1.371599956,36.62192,-121.90527,1_Lower
81,Lottia digitalis,areaA,zone3,quad3,areaA_zone3_quad3,areaA_zone3,1.371599956,36.62192,-121.90527,1_Lower
82,Lottia digitalis,areaA,zone2,quad1,areaA_zone2_quad1,areaA_zone2,1.828799941,36.62192,-121.90527,1_Lower
83,Lottia digitalis,areaA,zone2,quad2,areaA_zone2_quad2,areaA_zone2,1.828799941,36.62192,-121.90527,1_Lower
84,Lottia digitalis,areaA,zone2,quad3,areaA_zone2_quad3,areaA_zone2,1.828799941,36.62192,-121.90527,1_Lower
85,Lottia digitalis,areaA,zone1,quad1,areaA_zone1_quad1,areaA_zone1,2.285999927,36.62192,-121.90527,1_Upper
86,Lottia digitalis,areaA,zone1,quad2,areaA_zone1_quad2,areaA_zone1,2.285999927,36.62192,-121.90527,1_Upper
87,Lottia digitalis,areaA,zone1,quad3,areaA_zone1_quad3,areaA_zone1,2.285999927,36.62192,-121.90527,1_Upper
88,Lottia digitalis,areaB,zone3,quad1,areaB_zone3_quad1,areaB_zone3,1.371599956,36.62188,-121.90514,2_Lower
89,Lottia digitalis,areaB,zone3,quad2,areaB_zone3_quad2,areaB_zone3,1.371599956,36.62188,-121.90514,2_Lower
90,Lottia digitalis,areaB,zone3,quad3,areaB_zone3_quad3,areaB_zone3,1.371599956,36.62188,-121.90514,2_Lower
91,Lottia digitalis,areaB,zone2,quad1,areaB_zone2_quad1,areaB_zone2,1.828799941,36.62188,-121.90514,2_Lower
92,Lottia digitalis,areaB,zone2,quad2,areaB_zone2_quad2,areaB_zone2,1.828799941,36.62188,-121.90514,2_Lower
93,Lottia digitalis,areaB,zone2,quad3,areaB_zone2_quad3,areaB_zone2,1.828799941,36.62188,-121.90514,2_Lower
94,Lottia digitalis,areaB,zone1,quad1,areaB_zone1_quad1,areaB_zone1,2.285999927,36.62188,-121.90514,2_Upper
95,Lottia digitalis,areaB,zone1,quad2,areaB_zone1_quad2,areaB_zone1,2.285999927,36.62188,-121.90514,2_Upper
96,Lottia digitalis,areaB,zone1,quad3,areaB_zone1_quad3,areaB_zone1,2.285999927,36.62188,-121.90514,2_Upper
97,Lottia digitalis,areaC,zone3,quad1,areaC_zone3_quad1,areaC_zone3,1.219199961,36.6221,-121.90482,3_Lower
98,Lottia digitalis,areaC,zone3,quad2,areaC_zone3_quad2,areaC_zone3,1.219199961,36.6221,-121.90482,3_Lower
99,Lottia digitalis,areaC,zone3,quad3,areaC_zone3_quad3,areaC_zone3,1.219199961,36.6221,-121.90482,3_Lower
100,Lottia digitalis,areaC,zone3,quad4,areaC_zone3_quad4,areaC_zone3,1.219199961,36.6221,-121.90482,3_Lower
101,Lottia digitalis,areaC,zone3,quad5,areaC_zone3_quad5,areaC_zone3,1.219199961,36.6221,-121.90482,3_Lower
102,Lottia digitalis,areaC,zone2,quad1,areaC_zone2_quad1,areaC_zone2,1.676399946,36.6221,-121.90482,3_Upper
103,Lottia digitalis,areaC,zone2,quad2,areaC_zone2_quad2,areaC_zone2,1.676399946,36.6221,-121.90482,3_Upper
104,Lottia digitalis,areaC,zone2,quad3,areaC_zone2_quad3,areaC_zone2,1.676399946,36.6221,-121.90482,3_Upper
105,Littorina keenae,HighRock,zoneA,area1,zoneA_area1,HighRock_zoneA,2.438399922,36.62183,-121.90516,A_Face
106,Littorina keenae,HighRock,zoneA,area2,zoneA_area2,HighRock_zoneA,2.438399922,36.62183,-121.90516,A_Face
107,Littorina keenae,HighRock,zoneA,area3,zoneA_area3,HighRock_zoneA,2.438399922,36.62183,-121.90516,A_Face
108,Littorina keenae,HighRock,zoneB,area1,zoneB_area1,HighRock_zoneB,4.267199863,36.62183,-121.90516,B_Face
109,Littorina keenae,HighRock,zoneB,area2,zoneB_area2,HighRock_zoneB,4.267199863,36.62183,-121.90516,B_Face
110,Littorina keenae,HighRock,zoneC,area1,zoneC_area1,HighRock_zoneC,5.791199815,36.62183,-121.90516,C_Face
111,Littorina keenae,HighRock,zoneC,area2,zoneC_area2,HighRock_zoneC,5.791199815,36.62183,-121.90516,C_Face
112,Littorina keenae,HighRock,zoneD,area1,zoneD_area1,HighRock_zoneD,7.315199766,36.62183,-121.90516,D_Crack
