"","species","sp","site","nest1","long","lat"
"36","Chlorostoma.funebralis","CHFU","Wara.D","tran21R","121.90389W","36.62123N"
"37","Chlorostoma.funebralis","CHFU","Wara.D","tran2L","121.90388W","36.62129N"
"38","Chlorostoma.funebralis","CHFU","Wara.B","tran2R","121.90540W","36.62199N"
"39","Chlorostoma.funebralis","CHFU","Wara.B","tran2W","121.90527W","36.62196N"
"40","Chlorostoma.funebralis","CHFU","Wara.B","tran3R","121.90546W","36.62201N"
"41","Chlorostoma.funebralis","CHFU","Wara.B","tran3W","121.90534W","36.62195N"
"42","Chlorostoma.funebralis","CHFU","Wara.B","tran4R","121.90547W","36.62197N"
"43","Chlorostoma.funebralis","CHFU","Wara.B","tran4W","121.90537W","36.62194N"
"44","Chlorostoma.funebralis","CHFU","Wara.B","tran5R","121.90546W","36.62194N"
"45","Chlorostoma.funebralis","CHFU","Wara.D","tran6R","121.90340W","36.62159N"
"46","Chlorostoma.funebralis","CHFU","Wara.D","tran6W","121.90334W","36.62163N"
"47","Chlorostoma.funebralis","CHFU","Wara.D","tran7R","121.90374W","36.62143N"
"48","Chlorostoma.funebralis","CHFU","Wara.D","tran7W","121.90345W","36.62154N"
"49","Chlorostoma.funebralis","CHFU","Wara.D","tran8R","121.90373W","36.62148N"
"50","Chlorostoma.funebralis","CHFU","Wara.D","tran8W","121.90365W","36.62136N"
"51","Chlorostoma.funebralis","CHFU","Wara.D","tran9R","121.90373W","36.62148N"
"52","Chlorostoma.funebralis","CHFU","Wara.D","tran9W","121.90348W","36.62151N"
"53","Chlorostoma.funebralis","CHFU","Wara.B","B_day2_tran1","121.90542W","36.62190N"
"54","Lottia.scabra","LOSC","CabrilloProtected","HarleySite","121.90432W","36.621841N"
"55","Lottia.scabra","LOSC","CabrilloProtected","HarleySite","121.904519W","36.621792N"
"56","Lottia.scabra","LOSC","CabrilloProtected","HarleySite","121.905122W","36.621874N"
"57","Lottia.scabra","LOSC","CabrilloProtected","HarleySite",NA,NA
"58","Lottia.digitalis","LODI","areaA","zone1","121.90527W","36.62192N"
"59","Lottia.digitalis","LODI","areaA","zone2","121.90527W","36.62192N"
"60","Lottia.digitalis","LODI","areaA","zone3","121.90527W","36.62192N"
"61","Lottia.digitalis","LODI","areaB","zone3","121.90514W","36.62188N"
"62","Lottia.digitalis","LODI","areaB","zone2","121.90514W","36.62188N"
"63","Lottia.digitalis","LODI","areaB","zone1","121.90514W","36.62188N"
"64","Lottia.digitalis","LODI","areaC","zone3","121.90482W","36.62210N"
"65","Lottia.digitalis","LODI","areaC","zone2","121.90482W","36.62210N"
