"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"19",19,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",9.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"20",20,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",8.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"21",21,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.8,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"22",22,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"23",23,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"24",24,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",11.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"25",25,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"26",26,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",8.8,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"27",27,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",9.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"28",28,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"29",29,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"30",30,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"31",31,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",12.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"32",32,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",11.8,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"33",33,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",8.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"34",34,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"35",35,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"36",36,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"37",37,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"38",38,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",2.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"39",39,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",8.9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"40",40,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"41",41,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",8.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"42",42,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",14.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"43",43,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",8.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"44",44,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",12.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"45",45,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",16.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"46",46,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",13.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"47",47,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"48",48,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"49",49,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",11.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"50",50,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"51",51,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"52",52,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"53",53,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",8.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"54",54,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"55",55,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"56",56,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"57",57,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"58",58,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",8.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"59",59,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"60",60,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"61",61,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"62",62,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"63",63,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"64",64,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"65",65,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",8.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"66",66,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"67",67,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"68",68,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"69",69,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"70",70,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"71",71,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"72",72,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"73",73,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",9.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"74",74,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"75",75,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",4.9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"76",76,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"77",77,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"78",78,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"79",79,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",9.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"80",80,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"81",81,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"82",82,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"83",83,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"84",84,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.8,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"85",85,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"86",86,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"87",87,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"88",88,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"89",89,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"90",90,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",4.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"91",91,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"92",92,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",3.8,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"93",93,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",4.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"94",94,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",16.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"95",95,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",11.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"96",96,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",17.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"97",97,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",16,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"98",98,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",13.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"99",99,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",11.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"100",100,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",12.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"101",101,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",13.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"102",102,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",8.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"103",103,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",11.8,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"104",104,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",13.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"105",105,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",13.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"106",106,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",8.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"107",107,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",9.9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"108",108,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",5.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"109",109,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",12.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"110",110,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",10.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"111",111,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",7.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"112",112,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",2.8,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"113",113,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",10.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"114",114,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",2.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"115",115,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",11.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"116",116,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",3.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"117",117,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area2",NA,NA,"zoneA_area2",3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"118",118,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",13.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"119",119,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",6.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"120",120,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",6.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"121",121,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",8.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"122",122,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",6.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"123",123,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",6.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"124",124,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",10.9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"125",125,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",6.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"126",126,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",6.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"127",127,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",7.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"128",128,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",6.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"129",129,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",5.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"130",130,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",7.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"131",131,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",5.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"132",132,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",4.9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"133",133,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",10.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"134",134,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",7.7,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"135",135,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",7.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"136",136,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",8.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"137",137,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",5.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"138",138,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",8,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"139",139,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",7.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"140",140,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",5.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"141",141,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",5.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"142",142,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area3",NA,NA,"zoneA_area3",6.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
