,row,species,sp,site,era,date,nest1,nest2,nest3,nest3note,sampleUnit,size1mm,habitat,tideHTm,lat,long,Shaw_hab,notes,notes2
57,57,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,6.4,bare rock,8,36.62183N,121.90516W,,,
58,58,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,8.4,bare rock,8,36.62183N,121.90516W,,,
59,59,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,6.7,bare rock,8,36.62183N,121.90516W,,,
60,60,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,7.2,bare rock,8,36.62183N,121.90516W,,,
61,61,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,6.3,bare rock,8,36.62183N,121.90516W,,,
62,62,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,7,bare rock,8,36.62183N,121.90516W,,,
63,63,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,6.3,bare rock,8,36.62183N,121.90516W,,,
64,64,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,7.3,bare rock,8,36.62183N,121.90516W,,,
65,65,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,8.5,bare rock,8,36.62183N,121.90516W,,,
66,66,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,7.1,bare rock,8,36.62183N,121.90516W,,,
67,67,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,6.9,bare rock,8,36.62183N,121.90516W,,,
68,68,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,6.7,bare rock,8,36.62183N,121.90516W,,,
69,69,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,9,bare rock,8,36.62183N,121.90516W,,,
70,70,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,4,bare rock,8,36.62183N,121.90516W,,,
71,71,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,6.6,bare rock,8,36.62183N,121.90516W,,,
72,72,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,7.1,bare rock,8,36.62183N,121.90516W,,,
73,73,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,9.1,bare rock,8,36.62183N,121.90516W,,,
74,74,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,5,bare rock,8,36.62183N,121.90516W,,,
75,75,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,4.9,bare rock,8,36.62183N,121.90516W,,,
76,76,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,5.2,bare rock,8,36.62183N,121.90516W,,,
77,77,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,7.4,bare rock,8,36.62183N,121.90516W,,,
78,78,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,6,bare rock,8,36.62183N,121.90516W,,,
79,79,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,9.1,bare rock,8,36.62183N,121.90516W,,,
80,80,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,7.3,bare rock,8,36.62183N,121.90516W,,,
81,81,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,7.7,bare rock,8,36.62183N,121.90516W,,,
82,82,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,7.4,bare rock,8,36.62183N,121.90516W,,,
83,83,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,5.6,bare rock,8,36.62183N,121.90516W,,,
84,84,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,5.8,bare rock,8,36.62183N,121.90516W,,,
85,85,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,5.9,bare rock,8,36.62183N,121.90516W,,,
86,86,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,5.3,bare rock,8,36.62183N,121.90516W,,,
87,87,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,6,bare rock,8,36.62183N,121.90516W,,,
88,88,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,7,bare rock,8,36.62183N,121.90516W,,,
89,89,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,5.9,bare rock,8,36.62183N,121.90516W,,,
90,90,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,4.3,bare rock,8,36.62183N,121.90516W,,,
91,91,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,5.5,bare rock,8,36.62183N,121.90516W,,,
92,92,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,3.8,bare rock,8,36.62183N,121.90516W,,,
93,93,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area1,NA,NA,zoneA_area1,4.3,bare rock,8,36.62183N,121.90516W,,,
94,94,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,16.6,bare rock,8,36.62183N,121.90516W,,,
95,95,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,11.5,bare rock,8,36.62183N,121.90516W,,,
96,96,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,17.5,bare rock,8,36.62183N,121.90516W,,,
97,97,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,16,bare rock,8,36.62183N,121.90516W,,,
98,98,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,13.7,bare rock,8,36.62183N,121.90516W,,,
99,99,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,11.7,bare rock,8,36.62183N,121.90516W,,,
100,100,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,12.5,bare rock,8,36.62183N,121.90516W,,,
101,101,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,13.3,bare rock,8,36.62183N,121.90516W,,,
102,102,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,8.7,bare rock,8,36.62183N,121.90516W,,,
103,103,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,11.8,bare rock,8,36.62183N,121.90516W,,,
104,104,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,13.5,bare rock,8,36.62183N,121.90516W,,,
105,105,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,13.6,bare rock,8,36.62183N,121.90516W,,,
106,106,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,8.2,bare rock,8,36.62183N,121.90516W,,,
107,107,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,9.9,bare rock,8,36.62183N,121.90516W,,,
108,108,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,5.1,bare rock,8,36.62183N,121.90516W,,,
109,109,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,12.2,bare rock,8,36.62183N,121.90516W,,,
110,110,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,10.4,bare rock,8,36.62183N,121.90516W,,,
111,111,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,7.4,bare rock,8,36.62183N,121.90516W,,,
112,112,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,2.8,bare rock,8,36.62183N,121.90516W,,,
113,113,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,10.1,bare rock,8,36.62183N,121.90516W,,,
114,114,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,2.7,bare rock,8,36.62183N,121.90516W,,,
115,115,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,11.7,bare rock,8,36.62183N,121.90516W,,,
116,116,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,3.3,bare rock,8,36.62183N,121.90516W,,,
117,117,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area2,NA,NA,zoneA_area2,3,bare rock,8,36.62183N,121.90516W,,,
118,118,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,13.2,bare rock,8,36.62183N,121.90516W,,,
119,119,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.4,bare rock,8,36.62183N,121.90516W,,,
120,120,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.2,bare rock,8,36.62183N,121.90516W,,,
121,121,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,8.5,bare rock,8,36.62183N,121.90516W,,,
122,122,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.4,bare rock,8,36.62183N,121.90516W,,,
123,123,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.1,bare rock,8,36.62183N,121.90516W,,,
124,124,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,10.9,bare rock,8,36.62183N,121.90516W,,,
125,125,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.1,bare rock,8,36.62183N,121.90516W,,,
126,126,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.2,bare rock,8,36.62183N,121.90516W,,,
127,127,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,7.4,bare rock,8,36.62183N,121.90516W,,,
128,128,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.4,bare rock,8,36.62183N,121.90516W,,,
129,129,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.4,bare rock,8,36.62183N,121.90516W,,,
130,130,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,7.3,bare rock,8,36.62183N,121.90516W,,,
131,131,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.5,bare rock,8,36.62183N,121.90516W,,,
132,132,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,4.9,bare rock,8,36.62183N,121.90516W,,,
133,133,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,10.5,bare rock,8,36.62183N,121.90516W,,,
134,134,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,7.7,bare rock,8,36.62183N,121.90516W,,,
135,135,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,7.5,bare rock,8,36.62183N,121.90516W,,,
136,136,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,8.3,bare rock,8,36.62183N,121.90516W,,,
137,137,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.4,bare rock,8,36.62183N,121.90516W,,,
138,138,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,8,bare rock,8,36.62183N,121.90516W,,,
139,139,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,7.5,bare rock,8,36.62183N,121.90516W,,,
140,140,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.2,bare rock,8,36.62183N,121.90516W,,,
141,141,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.5,bare rock,8,36.62183N,121.90516W,,,
142,142,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.2,bare rock,8,36.62183N,121.90516W,,,
143,143,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.3,bare rock,8,36.62183N,121.90516W,,,
144,144,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,12.6,bare rock,8,36.62183N,121.90516W,,,
145,145,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.4,bare rock,8,36.62183N,121.90516W,,,
146,146,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.5,bare rock,8,36.62183N,121.90516W,,,
147,147,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.1,bare rock,8,36.62183N,121.90516W,,,
148,148,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.3,bare rock,8,36.62183N,121.90516W,,,
149,149,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.6,bare rock,8,36.62183N,121.90516W,,,
150,150,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,3.4,bare rock,8,36.62183N,121.90516W,,,
151,151,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.1,bare rock,8,36.62183N,121.90516W,,,
152,152,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,13,bare rock,8,36.62183N,121.90516W,,,
153,153,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.1,bare rock,8,36.62183N,121.90516W,,,
154,154,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.5,bare rock,8,36.62183N,121.90516W,,,
155,155,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.4,bare rock,8,36.62183N,121.90516W,,,
156,156,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,7.3,bare rock,8,36.62183N,121.90516W,,,
157,157,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,8,bare rock,8,36.62183N,121.90516W,,,
158,158,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.3,bare rock,8,36.62183N,121.90516W,,,
159,159,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.7,bare rock,8,36.62183N,121.90516W,,,
160,160,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,3.7,bare rock,8,36.62183N,121.90516W,,,
161,161,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.3,bare rock,8,36.62183N,121.90516W,,,
162,162,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6,bare rock,8,36.62183N,121.90516W,,,
163,163,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.5,bare rock,8,36.62183N,121.90516W,,,
164,164,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.2,bare rock,8,36.62183N,121.90516W,,,
165,165,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,7.2,bare rock,8,36.62183N,121.90516W,,,
166,166,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,7.3,bare rock,8,36.62183N,121.90516W,,,
167,167,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,7.4,bare rock,8,36.62183N,121.90516W,,,
168,168,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.9,bare rock,8,36.62183N,121.90516W,,,
169,169,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.2,bare rock,8,36.62183N,121.90516W,,,
170,170,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,6.5,bare rock,8,36.62183N,121.90516W,,,
171,171,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.8,bare rock,8,36.62183N,121.90516W,,,
172,172,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,5.2,bare rock,8,36.62183N,121.90516W,,,
173,173,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,14.4,bare rock,8,36.62183N,121.90516W,,,
174,174,Littorina.keenae,LIKE,HighRock,present,20/06/2014,zoneA,area3,NA,NA,zoneA_area3,7.5,bare rock,8,36.62183N,121.90516W,,,
