study,studySub,species,sp,site,era,date,nest1,nest2,nest3,nest3note,sampleUnit,size1mm,habitat,tideHTm,lat,long
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,10.1,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,5.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,13,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,17.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,11.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,13.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,4.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,5.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,9.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,9.1,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,10.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,17.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,15.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,9.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,11.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,17.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,8.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,5.1,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,17.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,9.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,8.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,13.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,7.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,11,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,19.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,8.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,17,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,4.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,5.1,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,11,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,12.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,12.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,15.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,5.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,18.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,10.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,9.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,10.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,17.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,19.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,8.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,8.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,17.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,18.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,5.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,18.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,11.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,15.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,4.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,36.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,38.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,38,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,35.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,24.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,35.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,36,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,38.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,27.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,42.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,28.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,41.1,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,32.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,20.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,32,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,23.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,30.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,23.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,22.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,28.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,26.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,40.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,31.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,19.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,29.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,30.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,24.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,43.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,32.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,27.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,25.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,37.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,18.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,26.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,18.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,31.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,41.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,44.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,32.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,30.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,39.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,23.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,35.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,28,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,30.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/23/2017,Lo 1,,,,Lo 1,41.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/23/2017,Lo 1,,,,Lo 1,16.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/23/2017,Lo 1,,,,Lo 1,17.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/23/2017,Lo 1,,,,Lo 1,19.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/23/2017,Lo 1,,,,Lo 1,27.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/23/2017,Lo 1,,,,Lo 1,29.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/23/2017,Lo 1,,,,Lo 1,33.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/23/2017,Lo 1,,,,Lo 1,19.1,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/23/2017,Lo 1,,,,Lo 1,17.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,31.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,33.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,34.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,40.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,36.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,38.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,39.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,43.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,38.8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,35,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,44.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,40.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,41.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/10/2017,Lo 1,,,,Lo 1,36.7,boulder with ulva on sediment, ,48.481781N,123.068522W
