"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","size1mm_rand","year"
"15","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",14.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",14.6,2017
"16","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",15.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",15.5,2017
"17","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.3,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.3,2017
"18","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",8.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",8.6,2017
"19","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",8.4,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",8.4,2017
"20","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",10.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",10.2,2017
"21","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",9,2017
"22","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",11.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",11.2,2017
"23","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",14.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",14.5,2017
"24","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",11.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",11.6,2017
"25","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",10,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",10,2017
"26","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.1,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.1,2017
"27","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",17.3,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",17.3,2017
"28","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",6.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",6.5,2017
"29","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",7.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",7.7,2017
"30","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",14.4,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",14.4,2017
"31","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",17.3,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",17.3,2017
"32","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",10.1,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",10.1,2017
"33","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",5.3,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",5.3,2017
"34","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",13,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",13,2017
"35","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",17.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",17.8,2017
"36","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",11.4,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",11.4,2017
"37","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",8,2017
"38","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",13.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",13.7,2017
"39","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",4.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",4.9,2017
"40","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",5.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",5.7,2017
"41","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",9.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",9.5,2017
"42","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",9.1,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",9.1,2017
"43","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",10.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",10.2,2017
"44","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",17.4,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",17.4,2017
"45","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.8,2017
"46","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",15.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",15.6,2017
"47","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",9.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",9.2,2017
"48","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",11.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",11.7,2017
"49","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",17.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",17.5,2017
"50","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.8,2017
"51","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",8.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",8.9,2017
"52","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.7,2017
"53","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",5.1,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",5.1,2017
"54","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",17.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",17.5,2017
"55","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",9.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",9.9,2017
"56","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.2,2017
"57","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",8.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",8.2,2017
"58","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",13.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",13.2,2017
"59","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",7.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",7.2,2017
"60","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",11,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",11,2017
"61","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",7,2017
"62","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",19.4,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",19.4,2017
"63","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",8.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",8.8,2017
"64","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.6,2017
"65","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",17,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",17,2017
"66","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",4.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",4.7,2017
"67","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",5.1,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",5.1,2017
"68","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.9,2017
"69","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.8,2017
"70","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",11,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",11,2017
"71","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",12.3,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",12.3,2017
"72","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",5,2017
"73","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.6,2017
"74","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",12.4,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",12.4,2017
"75","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",15.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",15.8,2017
"76","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",5.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",5.6,2017
"77","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.6,2017
"78","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.5,2017
"79","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",18.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",18.9,2017
"80","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",10.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",10.8,2017
"81","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",9.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",9.8,2017
"82","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",10.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",10.6,2017
"83","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",17.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",17.9,2017
"84","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",19.3,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",19.3,2017
"85","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",8.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",8.9,2017
"86","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",8.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",8.6,2017
"87","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",17.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",17.5,2017
"88","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",18.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",18.6,2017
"89","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",5.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",5.6,2017
"90","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",18.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",18.7,2017
"91","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",11.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",11.2,2017
"92","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.7,2017
"93","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",15.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",15.9,2017
"94","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",4.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",4.9,2017
"95","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",36.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",36.5,2017
"96","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",38.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",38.5,2017
"97","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",38,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",38,2017
"98","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",35.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",35.5,2017
"99","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",24.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",24.5,2017
"100","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",35.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",35.5,2017
"101","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",36,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",36,2017
"102","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",38.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",38.6,2017
"103","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",27.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",27.2,2017
"104","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",42.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",42.8,2017
"105","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",28.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",28.7,2017
"106","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",41.1,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",41.1,2017
"107","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",32.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",32.2,2017
"108","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",20.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",20.7,2017
"109","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",32,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",32,2017
"110","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",23.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",23.6,2017
"111","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",30.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",30.5,2017
"112","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",23.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",23.2,2017
"113","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",22.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",22.7,2017
"114","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",28.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",28.8,2017
"115","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",26.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",26.5,2017
"116","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",40.3,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",40.3,2017
"117","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",31.3,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",31.3,2017
"118","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",19.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",19.6,2017
"119","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",29.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",29.9,2017
"120","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",30.4,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",30.4,2017
"121","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",24.2,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",24.2,2017
"122","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",43.8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",43.8,2017
"123","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",32.3,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",32.3,2017
