row,species,sp,site,date,nest1,nest2,nest3,nest3note,sampleUnit,size1mm,habitat,tideHTm,lat,long,Shaw_hab,notes,notes2
33,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,8.5,bare rock,8,36.62183N,121.90516W,,,
34,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10.3,bare rock,8,36.62183N,121.90516W,,,
35,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10.5,bare rock,8,36.62183N,121.90516W,,,
36,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.6,bare rock,8,36.62183N,121.90516W,,,
37,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.7,bare rock,8,36.62183N,121.90516W,,,
38,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,2.3,bare rock,8,36.62183N,121.90516W,,,
39,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,8.9,bare rock,8,36.62183N,121.90516W,,,
40,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10,bare rock,8,36.62183N,121.90516W,,,
41,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,8.4,bare rock,8,36.62183N,121.90516W,,,
42,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,14.7,bare rock,8,36.62183N,121.90516W,,,
43,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,8.7,bare rock,8,36.62183N,121.90516W,,,
44,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,12.1,bare rock,8,36.62183N,121.90516W,,,
45,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,16.3,bare rock,8,36.62183N,121.90516W,,,
46,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,13.2,bare rock,8,36.62183N,121.90516W,,,
47,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10,bare rock,8,36.62183N,121.90516W,,,
48,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10.4,bare rock,8,36.62183N,121.90516W,,,
49,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,11.1,bare rock,8,36.62183N,121.90516W,,,
50,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10.6,bare rock,8,36.62183N,121.90516W,,,
51,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10.6,bare rock,8,36.62183N,121.90516W,,,
52,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.9,bare rock,8,36.62183N,121.90516W,,,
53,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,8.2,bare rock,8,36.62183N,121.90516W,,,
54,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.2,bare rock,8,36.62183N,121.90516W,,,
55,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.7,bare rock,8,36.62183N,121.90516W,,,
56,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10.4,bare rock,8,36.62183N,121.90516W,,,
57,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.4,bare rock,8,36.62183N,121.90516W,,,
58,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,8.4,bare rock,8,36.62183N,121.90516W,,,
59,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.7,bare rock,8,36.62183N,121.90516W,,,
60,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.2,bare rock,8,36.62183N,121.90516W,,,
61,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.3,bare rock,8,36.62183N,121.90516W,,,
62,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7,bare rock,8,36.62183N,121.90516W,,,
63,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.3,bare rock,8,36.62183N,121.90516W,,,
64,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.3,bare rock,8,36.62183N,121.90516W,,,
65,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,8.5,bare rock,8,36.62183N,121.90516W,,,
66,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.1,bare rock,8,36.62183N,121.90516W,,,
67,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.9,bare rock,8,36.62183N,121.90516W,,,
68,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.7,bare rock,8,36.62183N,121.90516W,,,
69,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,9,bare rock,8,36.62183N,121.90516W,,,
70,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,4,bare rock,8,36.62183N,121.90516W,,,
71,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.6,bare rock,8,36.62183N,121.90516W,,,
72,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.1,bare rock,8,36.62183N,121.90516W,,,
73,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,9.1,bare rock,8,36.62183N,121.90516W,,,
74,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5,bare rock,8,36.62183N,121.90516W,,,
75,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,4.9,bare rock,8,36.62183N,121.90516W,,,
76,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.2,bare rock,8,36.62183N,121.90516W,,,
77,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.4,bare rock,8,36.62183N,121.90516W,,,
78,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6,bare rock,8,36.62183N,121.90516W,,,
79,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,9.1,bare rock,8,36.62183N,121.90516W,,,
80,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.3,bare rock,8,36.62183N,121.90516W,,,
81,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.7,bare rock,8,36.62183N,121.90516W,,,
82,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.4,bare rock,8,36.62183N,121.90516W,,,
83,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.6,bare rock,8,36.62183N,121.90516W,,,
84,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.8,bare rock,8,36.62183N,121.90516W,,,
85,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.9,bare rock,8,36.62183N,121.90516W,,,
86,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.3,bare rock,8,36.62183N,121.90516W,,,
87,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6,bare rock,8,36.62183N,121.90516W,,,
88,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7,bare rock,8,36.62183N,121.90516W,,,
89,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.9,bare rock,8,36.62183N,121.90516W,,,
90,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,4.3,bare rock,8,36.62183N,121.90516W,,,
91,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.5,bare rock,8,36.62183N,121.90516W,,,
92,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,3.8,bare rock,8,36.62183N,121.90516W,,,
93,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,4.3,bare rock,8,36.62183N,121.90516W,,,
94,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,16.6,bare rock,8,36.62183N,121.90516W,,,
95,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,11.5,bare rock,8,36.62183N,121.90516W,,,
96,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,17.5,bare rock,8,36.62183N,121.90516W,,,
97,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,16,bare rock,8,36.62183N,121.90516W,,,
98,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,13.7,bare rock,8,36.62183N,121.90516W,,,
99,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,11.7,bare rock,8,36.62183N,121.90516W,,,
100,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,12.5,bare rock,8,36.62183N,121.90516W,,,
101,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,13.3,bare rock,8,36.62183N,121.90516W,,,
102,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,8.7,bare rock,8,36.62183N,121.90516W,,,
103,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,11.8,bare rock,8,36.62183N,121.90516W,,,
104,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,13.5,bare rock,8,36.62183N,121.90516W,,,
105,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,13.6,bare rock,8,36.62183N,121.90516W,,,
106,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,8.2,bare rock,8,36.62183N,121.90516W,,,
107,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,9.9,bare rock,8,36.62183N,121.90516W,,,
108,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,5.1,bare rock,8,36.62183N,121.90516W,,,
109,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,12.2,bare rock,8,36.62183N,121.90516W,,,
110,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,10.4,bare rock,8,36.62183N,121.90516W,,,
111,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,7.4,bare rock,8,36.62183N,121.90516W,,,
112,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,2.8,bare rock,8,36.62183N,121.90516W,,,
113,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,10.1,bare rock,8,36.62183N,121.90516W,,,
114,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,2.7,bare rock,8,36.62183N,121.90516W,,,
115,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,11.7,bare rock,8,36.62183N,121.90516W,,,
116,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,3.3,bare rock,8,36.62183N,121.90516W,,,
117,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area2,NA,NA,zoneA_area2,3,bare rock,8,36.62183N,121.90516W,,,
118,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,13.2,bare rock,8,36.62183N,121.90516W,,,
119,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.4,bare rock,8,36.62183N,121.90516W,,,
120,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.2,bare rock,8,36.62183N,121.90516W,,,
121,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,8.5,bare rock,8,36.62183N,121.90516W,,,
122,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.4,bare rock,8,36.62183N,121.90516W,,,
123,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.1,bare rock,8,36.62183N,121.90516W,,,
124,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,10.9,bare rock,8,36.62183N,121.90516W,,,
125,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.1,bare rock,8,36.62183N,121.90516W,,,
126,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.2,bare rock,8,36.62183N,121.90516W,,,
127,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.4,bare rock,8,36.62183N,121.90516W,,,
128,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.4,bare rock,8,36.62183N,121.90516W,,,
129,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.4,bare rock,8,36.62183N,121.90516W,,,
130,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.3,bare rock,8,36.62183N,121.90516W,,,
131,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.5,bare rock,8,36.62183N,121.90516W,,,
132,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,4.9,bare rock,8,36.62183N,121.90516W,,,
133,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,10.5,bare rock,8,36.62183N,121.90516W,,,
134,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.7,bare rock,8,36.62183N,121.90516W,,,
135,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.5,bare rock,8,36.62183N,121.90516W,,,
136,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,8.3,bare rock,8,36.62183N,121.90516W,,,
137,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.4,bare rock,8,36.62183N,121.90516W,,,
138,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,8,bare rock,8,36.62183N,121.90516W,,,
139,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.5,bare rock,8,36.62183N,121.90516W,,,
140,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.2,bare rock,8,36.62183N,121.90516W,,,
141,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.5,bare rock,8,36.62183N,121.90516W,,,
142,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.2,bare rock,8,36.62183N,121.90516W,,,
143,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.3,bare rock,8,36.62183N,121.90516W,,,
144,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,12.6,bare rock,8,36.62183N,121.90516W,,,
145,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.4,bare rock,8,36.62183N,121.90516W,,,
146,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.5,bare rock,8,36.62183N,121.90516W,,,
147,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.1,bare rock,8,36.62183N,121.90516W,,,
148,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.3,bare rock,8,36.62183N,121.90516W,,,
149,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.6,bare rock,8,36.62183N,121.90516W,,,
150,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,3.4,bare rock,8,36.62183N,121.90516W,,,
151,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.1,bare rock,8,36.62183N,121.90516W,,,
152,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,13,bare rock,8,36.62183N,121.90516W,,,
153,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.1,bare rock,8,36.62183N,121.90516W,,,
154,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.5,bare rock,8,36.62183N,121.90516W,,,
155,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.4,bare rock,8,36.62183N,121.90516W,,,
156,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.3,bare rock,8,36.62183N,121.90516W,,,
157,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,8,bare rock,8,36.62183N,121.90516W,,,
158,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.3,bare rock,8,36.62183N,121.90516W,,,
159,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.7,bare rock,8,36.62183N,121.90516W,,,
160,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,3.7,bare rock,8,36.62183N,121.90516W,,,
161,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.3,bare rock,8,36.62183N,121.90516W,,,
162,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6,bare rock,8,36.62183N,121.90516W,,,
163,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.5,bare rock,8,36.62183N,121.90516W,,,
164,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.2,bare rock,8,36.62183N,121.90516W,,,
165,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.2,bare rock,8,36.62183N,121.90516W,,,
166,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.3,bare rock,8,36.62183N,121.90516W,,,
167,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.4,bare rock,8,36.62183N,121.90516W,,,
168,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.9,bare rock,8,36.62183N,121.90516W,,,
169,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.2,bare rock,8,36.62183N,121.90516W,,,
170,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,6.5,bare rock,8,36.62183N,121.90516W,,,
171,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.8,bare rock,8,36.62183N,121.90516W,,,
172,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.2,bare rock,8,36.62183N,121.90516W,,,
173,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,14.4,bare rock,8,36.62183N,121.90516W,,,
174,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.5,bare rock,8,36.62183N,121.90516W,,,
175,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.2,bare rock,8,36.62183N,121.90516W,,,
176,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.2,bare rock,8,36.62183N,121.90516W,,,
177,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,8.4,bare rock,8,36.62183N,121.90516W,,,
178,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.5,bare rock,8,36.62183N,121.90516W,,,
179,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.8,bare rock,8,36.62183N,121.90516W,,,
180,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,8.6,bare rock,8,36.62183N,121.90516W,,,
181,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,12.5,bare rock,8,36.62183N,121.90516W,,,
182,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.4,bare rock,8,36.62183N,121.90516W,,,
183,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,7.3,bare rock,8,36.62183N,121.90516W,,,
184,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.9,bare rock,8,36.62183N,121.90516W,,,
185,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area3,NA,NA,zoneA_area3,5.4,bare rock,8,36.62183N,121.90516W,,,
