species,sp,site,era,date,tide.ht.m,transect,quadrat_m2_0.0625,sampleUnit,size.mm,start.transect.lat,start.transect.long
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.5,T2,Q2,T2_Q2,29.9,43Á20.005,124Á22.615
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,19,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,8,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,14.9,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,19.3,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,12.3,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,10.5,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,9.9,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,13.4,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,10.8,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,5,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,9.7,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,12.9,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,12.8,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,14.9,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2,T3,Q2,T3_Q2,4,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.1,T3,Q3,T3_Q3,12.1,43Á20.008,124Á22.608
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,21.3,43Á20.008,124Á22.605
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,20.7,43Á20.008,124Á22.605
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.1,T5,Q2,T5_Q2,14.7,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.1,T5,Q2,T5_Q2,22,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.1,T5,Q3,T5_Q3,19.3,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.1,T5,Q3,T5_Q3,12.4,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,17.7,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,16.6,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,20.9,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,26.2,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,22.5,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,16.9,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,23,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,16.4,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,15.9,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,15,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,27.3,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.9,T5,Q5,T5_Q5,15,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.1,T5,Q6,T5_Q6,16.9,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.1,T5,Q6,T5_Q6,15.4,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.1,T5,Q6,T5_Q6,19.9,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q7,T5_Q7,19.5,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q7,T5_Q7,21.3,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q7,T5_Q7,24.9,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q7,T5_Q7,20.5,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q7,T5_Q7,21,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.4,T5,Q8,T5_Q8,19.5,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.4,T5,Q8,T5_Q8,25,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q9,T5_Q9,27.9,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q9,T5_Q9,25.5,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q9,T5_Q9,26.5,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q9,T5_Q9,16,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q9,T5_Q9,22.4,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q9,T5_Q9,21.1,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q9,T5_Q9,21.7,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q9,T5_Q9,24.8,43Á20.051,124Á22.586
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,0.8,T5,Q9,T5_Q9,24.5,43Á20.051,124Á22.586
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,3.3,T1,Q1,T1_Q1,34.7,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,3.3,T1,Q1,T1_Q1,33.8,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,3.3,T1,Q1,T1_Q1,27.5,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,3.3,T1,Q1,T1_Q1,35,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,3.3,T1,Q1,T1_Q1,34.4,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,3.3,T1,Q1,T1_Q1,37.2,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,3.3,T1,Q1,T1_Q1,19.6,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,6.5,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,11.3,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,13.9,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,9.9,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q3,T1_Q3,22,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q3,T1_Q3,18.8,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q3,T1_Q3,19.6,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q3,T1_Q3,9.5,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q3,T1_Q3,8.4,43Á20.001,124Á22.617
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.4,T2,Q1,T2_Q1,23.6,43Á20.005,124Á22.615
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.5,T2,Q2,T2_Q2,6.3,43Á20.005,124Á22.615
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.5,T2,Q2,T2_Q2,8.1,43Á20.005,124Á22.615
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.5,T2,Q2,T2_Q2,23,43Á20.005,124Á22.615
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.5,T2,Q2,T2_Q2,8.9,43Á20.005,124Á22.615
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.5,T2,Q2,T2_Q2,19.3,43Á20.005,124Á22.615
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T2,Q3,T2_Q3,4,43Á20.005,124Á22.615
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2.2,T4,Q1,T4_Q1,30.2,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2.2,T4,Q1,T4_Q1,33.5,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2.2,T4,Q1,T4_Q1,34,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2.2,T4,Q1,T4_Q1,32,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2.2,T4,Q1,T4_Q1,33.9,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2.2,T4,Q1,T4_Q1,24.3,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2.2,T4,Q1,T4_Q1,15.3,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2.2,T4,Q1,T4_Q1,16.9,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2.2,T4,Q1,T4_Q1,16,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2.2,T4,Q1,T4_Q1,12.9,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,18.3,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,13,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,14.1,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,15.9,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,14.4,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,18,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,15,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,30.7,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,18.7,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,17.5,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,20,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,16.7,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,2,T4,Q2,T4_Q2,17.8,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.9,T4,Q3,T4_Q3,16.4,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.9,T4,Q3,T4_Q3,11.4,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.9,T4,Q3,T4_Q3,12.4,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.9,T4,Q3,T4_Q3,13,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.9,T4,Q3,T4_Q3,12.9,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.9,T4,Q3,T4_Q3,20,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.9,T4,Q3,T4_Q3,18.8,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.9,T4,Q3,T4_Q3,18.9,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.9,T4,Q3,T4_Q3,22.9,43Á20.008,124Á22.605
Lottia.persona,LOPE,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-10,1.9,T4,Q3,T4_Q3,25.3,43Á20.008,124Á22.605
